,pr_predict_cc
1116,14.04470989
1117,13.97100934
1118,21.7302749
1119,0.884391168
1120,2.114165647
1121,0.175264891
1122,0.246386496
1123,1.123231483
1124,0.644792885
1125,0.402493263
1126,8.289705155
1127,5.617828381
1128,2.23365651
1129,3.017794211
1130,0.329486902
1131,0
1132,1.848016899
1133,0.097000452
1134,0.36912335
1135,0.154148337
1136,0.311749103
1137,0.376989018
1138,0.46901691
1139,0.568063146
1140,2.758279217
1141,0.596615526
1142,0.181677048
1143,2.761317571
1144,0.472745632
1145,0.454812045
1146,0.204652114
1147,12.84980775
1148,11.35513774
1149,0.342180448
1150,1.077349499
1151,7.384821015
1152,8.609211225
1153,0.53069139
1154,8.572780296
1155,12.35959474
1156,1.896795572
1157,1.367005819
1158,1.581234403
1159,10.74131636
1160,0.231735622
1161,0.272669522
1162,0.118115336
1163,1.298650883
1164,0.046284823
1165,0
1166,0.083514194
1167,0.189530666
1168,1.98318215
1169,0.073472998
1170,0.199388959
1171,1.553551595
1172,6.743316421
1173,5.177461162
1174,0.306485193
1175,0.151003455
1176,0.127608381
1177,0.601542811
1178,1.755538905
1179,0.165788169
1180,0.166959165
1181,0.098270806
1182,0.057643928
1183,0.133538886
1184,0.003395986
1185,0
1186,0.093042581
1187,0.309235722
1188,0.086835673
1189,0.743538141
1190,0.097836751
1191,0.122703324
1192,0.090022308
1193,0.049039717
1194,0.023345045
1195,0.02272663
1196,0.054504486
1197,0.057716459
1198,0.059547573
1199,0
1200,0
1201,0.130948838
1202,0
1203,0
1204,0.030830526
1205,0.032572411
1206,0
1207,0
1208,0.026540662
1209,0.176446005
1210,0.015836732
1211,0.017232955
1212,0.035417089
1213,0
1214,0.202467858
1215,0.30244619
1216,9.106364131
1217,0.198587307
1218,0.177842608
1219,0.189664142
1220,0.170205092
1221,0.109595226
1222,0.088727834
1223,0.090601892
1224,3.65001727
1225,0.104820194
1226,0.046163819
1227,0.105957195
1228,0.259470762
1229,0.303101053
1230,8.885884517
1231,8.290134932
1232,10.38112804
1233,0.603211433
1234,0.093102755
1235,0.070135882
1236,0.910573988
1237,9.687781747
1238,0.066280955
1239,0.250299192
1240,0.178528327
1241,0.125631072
1242,0.122881799
1243,0.062698822
1244,0.014909017
1245,0.05007162
1246,0.014251711
1247,0.101459188
1248,0.039948648
1249,0
1250,0.17793656
1251,0.025428588
1252,0.032604473
1253,0
1254,0.148267009
1255,0.028257095
1256,0.068698662
1257,0.018474898
1258,0
1259,0.081037511
1260,0.108403236
1261,0
1262,0.007414066
1263,0.073092511
1264,0.098491095
1265,0
1266,0
1267,0
1268,0.002066278
1269,0.028407933
1270,0.0618584
1271,0.067519593
1272,0.037199936
1273,0.069567024
1274,0.012060399
1275,0.107751223
1276,0
1277,0
1278,0.01878211
1279,0
1280,0.009614659
1281,0.142360782
1282,0.07814471
1283,0.07717113
1284,0.020790405
1285,0.010059364
1286,0
1287,0.099230836
1288,0.049380617
1289,1.046789233
1290,0.058228242
1291,0.209400624
1292,0
1293,0.067220199
1294,0.142214087
1295,0.118425731
1296,0.000501864
1297,0.051056003
1298,0.066536227
1299,0.011040082
1300,0.032677948
1301,0
1302,0.00109133
1303,0
1304,0.067947632
1305,0.107143062
1306,0
1307,0.010998636
1308,0
1309,0.123079989
1310,0.08804925
1311,0.044455175
1312,0.03828353
1313,0
1314,0.063212324
1315,0.049540492
1316,0.125266841
1317,0.123951992
1318,0
1319,0.492578986
1320,0.166144944
1321,0.04249692
1322,0.075006804
1323,0
1324,0.005270215
1325,0.085964894
1326,0.190788453
1327,0.087460345
1328,0.079966299
1329,0.10472672
1330,0.076108529
1331,0.673393332
1332,0.089026129
1333,0.080839881
1334,0.053607101
1335,0.164179356
1336,0
1337,0
1338,0
1339,0
1340,0.148502872
1341,0.022536471
1342,0.079995114
1343,0.208060499
1344,0.155999804
1345,0
1346,0.095073819
1347,0.419534484
1348,0.082784184
1349,0.546804425
1350,0
1351,0.097344037
1352,0.079865477
1353,0.103477815
1354,0.085461891
1355,0.07814541
1356,0.147567526
1357,0.056206501
1358,5.559346858
1359,2.000656678
1360,0
1361,0
1362,5.414872826
1363,0.100565995
1364,0.437196913
1365,2.103163518
1366,5.627004067
1367,16.13119133
1368,18.96666845
1369,1.05299831
1370,1.29821722
1371,6.23477835
1372,0.354802742
1373,0.033470619
1374,0.156489163
1375,0.547770272
1376,1.834536369
1377,2.763773762
1378,12.37099317
1379,2.039124144
1380,0.335054707
1381,0.346022155
1382,0.156150552
1383,19.1559646
1384,8.364717004
1385,8.674000229
1386,10.31352225
1387,8.345803364
1388,5.421035215
1389,2.208086674
1390,19.08013923
1391,0.669578077
1392,0.229357146
1393,0.42435731
1394,0.329656427
1395,1.523084783
1396,34.56904026
1397,0
1398,0.105570094
1399,0
1400,6.623417636
1401,0.201151832
1402,3.778196959
1403,14.06568787
1404,10.3498239
1405,19.41515785
1406,8.410315794
1407,6.22841058
1408,1.968046484
1409,0.563623477
1410,14.92492352
1411,10.81689661
1412,2.767448104
1413,1.545271362
1414,12.93991437
1415,1.170385862
1416,4.256526461
1417,33.77369861
1418,4.080279566
1419,3.499471016
1420,0.113898678
1421,0.063507003
1422,0
1423,0.036381117
1424,0.083932551
1425,0.097501289
1426,4.947422033
1427,10.41559202
1428,0.877058864
1429,0.369968903
1430,7.113709785
1431,4.874678787
1432,3.817856616
1433,2.339107062
1434,0
1435,0.17962482
1436,1.834727545
1437,0.328442488
1438,0.740051741
1439,0.06912536
1440,2.517060981
1441,1.4708862
1442,1.100142433
1443,4.94557585
1444,11.94641338
1445,6.826472336
1446,12.72853039
1447,6.564724192
1448,12.0104118
1449,1.217931029
1450,0.424129757
1451,8.073028382
1452,0.529509985
1453,6.780294673
1454,7.360915642
1455,0.895087413
1456,0.233230014
1457,14.35748208
1458,0.364008278
1459,6.63123826
1460,6.07946717
1461,0.262714019
1462,0.20568408
1463,5.128527347
1464,4.639191587
1465,0.208245829
1466,2.815515477
1467,0.401688595
1468,7.629213399
1469,2.076041269
1470,1.153371023
1471,1.202326272
1472,1.436858554
1473,3.668347076
1474,0.198551043
1475,0.19033851
1476,0.394582448
1477,1.168542799
1478,0.598029298
1479,8.599223903
1480,1.179858585
1481,5.84086132
1482,8.339249442
1483,5.923233182
1484,15.11734999
1485,14.67121303
1486,2.296669642
1487,3.26138952
1488,10.39210564
1489,9.931171836
1490,0.611280191
1491,1.055677046
1492,5.196588353
1493,10.26100578
1494,0.095034985
1495,0.176425799
1496,0.196396047
1497,2.215443105
1498,6.255888703
1499,15.02512969
1500,10.7835319
1501,0.469031904
1502,0.03811466
1503,0.156272601
1504,10.25640294
1505,2.790649908
1506,5.306007482
1507,1.523250075
1508,2.154217159
1509,0.164920845
1510,0.350418021
1511,0.242268152
1512,14.3180451
1513,2.73901948
1514,0.046423441
1515,0.400476701
1516,0.386303899
1517,0.540997323
1518,0.673605882
1519,0.790451094
1520,0.322453162
1521,2.464141033
1522,5.463512691
1523,22.89575728
1524,9.124934915
1525,12.77288721
1526,23.20382027
1527,3.301759804
1528,2.459020454
1529,9.992574577
1530,2.648191852
1531,0.697599356
1532,3.366968604
1533,0.375319355
1534,8.759843705
1535,14.60208943
1536,0.46834524
1537,0.306897424
1538,13.59970177
1539,0.338238731
1540,1.406293874
1541,5.494585367
1542,0.201160019
1543,0.240428809
1544,1.926073395
1545,0.661803996
1546,0.2547383
1547,0
1548,0.241110928
1549,0.430149576
1550,0.619041114
1551,0.855504639
1552,24.58841224
1553,0.155198192
1554,0.286372647
1555,0
1556,2.839388993
1557,12.35829776
1558,1.680399585
1559,0.227367217
1560,0.00305275
1561,1.910524179
1562,0.33885475
1563,0
1564,0.012601585
1565,0.167689005
1566,1.565278558
1567,2.079989922
1568,2.726147046
1569,21.52518635
1570,1.506473706
1571,2.183513192
1572,1.312559778
1573,9.676337099
1574,2.270958343
1575,0.0592372
1576,0.080735705
1577,0.250845739
1578,0
1579,0.153697591
1580,0.143741346
1581,0.94462922
1582,0.030379129
1583,0.026246318
1584,0.049681506
1585,0.129886746
1586,2.382173813
1587,5.413485757
1588,10.96525252
1589,12.35677903
1590,1.858636406
1591,1.497967535
1592,0.051206134
1593,0.002463318
1594,0.007832335
1595,0.098878125
1596,0.07341086
1597,0.012286265
1598,0.792624721
1599,0.494083285
1600,8.983275917
1601,12.03962585
1602,0.893574113
1603,0.21313722
1604,0.265428599
1605,0.095314015
1606,0.10598189
1607,1.149159257
1608,0.176535589
1609,0
1610,0.04188632
1611,0
1612,0
1613,0.051796482
1614,0.058772101
1615,0.087096218
1616,0.086911925
1617,0
1618,0.00765427
1619,0.011039442
1620,0.022662247
1621,0.086505174
1622,8.698362286
1623,6.869157299
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0.0321476
1632,0
1633,0
1634,0.003387934
1635,0.029948586
1636,0.007757263
1637,0.075532149
1638,1.721785051
1639,0.102259649
1640,0.081771779
1641,4.407706963
1642,0.029932106
1643,0
1644,0
1645,0
1646,0.073303413
1647,0.041990895
1648,0.023847232
1649,0.083501534
1650,0
1651,0.018744188
1652,0.069163363
1653,7.183260129
1654,2.32417822
1655,0.543777157
1656,9.722012547
1657,12.70704586
1658,5.86308265
1659,4.317542388
1660,0.186487008
1661,0.07794446
1662,0.129465528
1663,0.028134769
1664,0.293198492
1665,0.422148192
1666,4.81212312
1667,5.220855169
1668,11.69547646
1669,10.19948449
1670,7.996268902
1671,0.017018866
1672,0.05726231
1673,0.074209687
1674,0.026783626
1675,0.06236795
1676,0.067098686
1677,0.038141096
1678,0.029920321
1679,0.08428887
1680,0.0410838
1681,0.101808189
1682,0.112294546
1683,0.139536817
1684,0.123876096
1685,0.13481012
1686,0
1687,0.022643906
1688,0.025753124
1689,0.142937321
1690,0.132407378
1691,0.129968731
1692,0.120043179
1693,0.123709893
1694,0.146377321
1695,0.027559152
1696,0.131691775
1697,0.119289463
1698,0
1699,0.136656513
1700,0.009521446
1701,0
1702,0
1703,0
1704,0.006057655
1705,0
1706,0
1707,0
1708,0.035416163
1709,0.098254054
1710,5.59056067
1711,0.040603985
1712,0.060892187
1713,0.079302713
1714,7.125471523
1715,0.047297251
1716,0.003382137
1717,0.112258454
1718,2.8701971
1719,0.04432403
1720,0
1721,0
1722,0
1723,0.0505355
1724,0.090281311
1725,0.100197596
1726,0.084873508
1727,0.764566004
1728,0.112665961
1729,0
1730,0.071519689
1731,0.072083663
1732,0.005425555
1733,0
1734,0.076578192
1735,0.087087174
1736,2.08797073
1737,2.030707482
1738,0.542913243
1739,0.256844697
1740,1.74847747
1741,2.601097408
1742,0.06278294
1743,0.136001954
1744,1.686693446
1745,0.073711804
1746,1.012862318
1747,21.76187088
1748,1.590331772
1749,10.27014577
1750,1.300193827
1751,5.068708487
1752,11.79758532
1753,5.158921025
1754,4.751050297
1755,7.347196058
1756,1.546949075
1757,23.22151875
1758,18.83446387
1759,0.078250725
1760,0.117003044
1761,0.168280656
1762,1.126839377
1763,1.391320449
1764,4.500007332
1765,0.203285297
1766,2.037604882
1767,5.012013216
